Serial Number:20575493 --,,,,,
,,,,,
Date Time - GMT -07:00,"Temp, (*C)",Host Connect,Button Down,Button Up,EOF
4/6/19 12:09,21.88, , , , 
4/6/19 12:09, ,Logged, , , 
4/6/19 12:12, ,Logged, , , 
4/6/19 12:14, ,Logged, , , 
4/6/19 12:24,27.02, , , , 
4/6/19 12:39,25.95, , , , 
4/6/19 12:54,25.09, , , , 
4/6/19 13:09,25.35, , , , 
4/6/19 13:24,25.95, , , , 
4/6/19 13:39,26.38, , , , 
4/6/19 13:54,27.11, , , , 
4/6/19 14:09,26.81, , , , 
4/6/19 14:24,25.95, , , , 
4/6/19 14:39,24.84, , , , 
4/6/19 14:54,24.71, , , , 
4/6/19 15:09,24.97, , , , 
4/6/19 15:24,24.54, , , , 
4/6/19 15:39,24.11, , , , 
4/6/19 15:54,23.59, , , , 
4/6/19 16:09,23.03, , , , 
4/6/19 16:24,22.22, , , , 
4/6/19 16:39,21.66, , , , 
4/6/19 16:54,21.62, , , , 
4/6/19 17:09,21.15, , , , 
4/6/19 17:24,20.76, , , , 
4/6/19 17:39,20.46, , , , 
4/6/19 17:54,20.03, , , , 
4/6/19 18:09,19.52, , , , 
4/6/19 18:24,19.04, , , , 
4/6/19 18:39,17.76, , , , 
4/6/19 18:54,16.08, , , , 
4/6/19 19:09,14.37, , , , 
4/6/19 19:24,13.51, , , , 
4/6/19 19:39,12.82, , , , 
4/6/19 19:54,12.78, , , , 
4/6/19 20:09,13.43, , , , 
4/6/19 20:24,12.87, , , , 
4/6/19 20:39,12.14, , , , 
4/6/19 20:54,11.19, , , , 
4/6/19 21:09,10.55, , , , 
4/6/19 21:24,10.16, , , , 
4/6/19 21:39,9.78, , , , 
4/6/19 21:54,9.05, , , , 
4/6/19 22:09,8.88, , , , 
4/6/19 22:24,8.83, , , , 
4/6/19 22:39,8.83, , , , 
4/6/19 22:54,8.83, , , , 
4/6/19 23:09,8.19, , , , 
4/6/19 23:24,8.11, , , , 
4/6/19 23:39,8.11, , , , 
4/6/19 23:54,7.93, , , , 
4/7/19 0:09,7.81, , , , 
4/7/19 0:24,7.59, , , , 
4/7/19 0:39,7.25, , , , 
4/7/19 0:54,7.2, , , , 
4/7/19 1:09,6.95, , , , 
4/7/19 1:24,6.82, , , , 
4/7/19 1:39,6.35, , , , 
4/7/19 1:54,6.17, , , , 
4/7/19 2:09,6.17, , , , 
4/7/19 2:24,5.96, , , , 
4/7/19 2:39,5.83, , , , 
4/7/19 2:54,5.62, , , , 
4/7/19 3:09,5.36, , , , 
4/7/19 3:24,5.15, , , , 
4/7/19 3:39,5.15, , , , 
4/7/19 3:54,5.02, , , , 
4/7/19 4:09,4.59, , , , 
4/7/19 4:24,4.59, , , , 
4/7/19 4:39,4.59, , , , 
4/7/19 4:54,4.46, , , , 
4/7/19 5:09,4.33, , , , 
4/7/19 5:24,4.12, , , , 
4/7/19 5:39,3.9, , , , 
4/7/19 5:54,3.9, , , , 
4/7/19 6:09,3.82, , , , 
4/7/19 6:24,3.64, , , , 
4/7/19 6:39,3.56, , , , 
4/7/19 6:54,3.6, , , , 
4/7/19 7:09,3.6, , , , 
4/7/19 7:24,3.73, , , , 
4/7/19 7:39,3.94, , , , 
4/7/19 7:54,4.76, , , , 
4/7/19 8:09,5.49, , , , 
4/7/19 8:24,6.99, , , , 
4/7/19 8:39,8.32, , , , 
4/7/19 8:54,11.07, , , , 
4/7/19 9:09,12.27, , , , 
4/7/19 9:24,13, , , , 
4/7/19 9:39,14.67, , , , 
4/7/19 9:54,15.23, , , , 
4/7/19 10:09,15.74, , , , 
4/7/19 10:24,16.56, , , , 
4/7/19 10:39,17.76, , , , 
4/7/19 10:54,18.74, , , , 
4/7/19 11:09,19.6, , , , 
4/7/19 11:24,20.59, , , , 
4/7/19 11:39,21.92, , , , 
4/7/19 11:54,23.46, , , , 
4/7/19 12:09,24.54, , , , 
4/7/19 12:24,25.52, , , , 
4/7/19 12:39,26.77, , , , 
4/7/19 12:54,27.63, , , , 
