Serial Number:20394447 --,,,,,
,,,,,
Date Time - GMT -07:00,"Temp, (*C)",Button Down,Button Up,Host Connect,EOF
7/1/18 16:58,34.32, , , , 
7/1/18 17:13,33.42, , , , 
7/1/18 17:28,36.38, , , , 
7/1/18 17:43,37.11, , , , 
7/1/18 17:58,37.23, , , , 
7/1/18 18:13,36.59, , , , 
7/1/18 18:28,35.39, , , , 
7/1/18 18:43,34.53, , , , 
7/1/18 18:58,33.72, , , , 
7/1/18 19:13,32.94, , , , 
7/1/18 19:28,32.17, , , , 
7/1/18 19:43,31.31, , , , 
7/1/18 19:58,30.11, , , , 
7/1/18 20:13,28.87, , , , 
7/1/18 20:28,27.84, , , , 
7/1/18 20:43,26.98, , , , 
7/1/18 20:58,25.74, , , , 
7/1/18 21:13,24.92, , , , 
7/1/18 21:28,24.19, , , , 
7/1/18 21:43,23.76, , , , 
7/1/18 21:58,23.34, , , , 
7/1/18 22:13,22.56, , , , 
7/1/18 22:28,22.48, , , , 
7/1/18 22:43,21.83, , , , 
7/1/18 22:58,21.4, , , , 
7/1/18 23:13,21.02, , , , 
7/1/18 23:28,20.8, , , , 
7/1/18 23:43,20.25, , , , 
7/1/18 23:58,19.56, , , , 
7/2/18 0:13,19.47, , , , 
7/2/18 0:28,19.6, , , , 
7/2/18 0:43,19.43, , , , 
7/2/18 0:58,19.3, , , , 
7/2/18 1:13,19.17, , , , 
7/2/18 1:28,18.7, , , , 
7/2/18 1:43,18.27, , , , 
7/2/18 1:58,17.97, , , , 
7/2/18 2:13,17.89, , , , 
7/2/18 2:28,17.97, , , , 
7/2/18 2:43,17.76, , , , 
7/2/18 2:58,17.67, , , , 
7/2/18 3:13,17.41, , , , 
7/2/18 3:28,17.29, , , , 
7/2/18 3:43,17.24, , , , 
7/2/18 3:58,17.33, , , , 
7/2/18 4:13,17.07, , , , 
7/2/18 4:28,16.81, , , , 
7/2/18 4:43,16.81, , , , 
7/2/18 4:58,16.73, , , , 
7/2/18 5:13,16.73, , , , 
7/2/18 5:28,16.6, , , , 
7/2/18 5:43,16.43, , , , 
7/2/18 5:58,16.39, , , , 
7/2/18 6:13,16.47, , , , 
7/2/18 6:28,16.77, , , , 
7/2/18 6:43,17.41, , , , 
7/2/18 6:58,17.97, , , , 
7/2/18 7:13,19.04, , , , 
7/2/18 7:28,19.9, , , , 
7/2/18 7:43,20.55, , , , 
7/2/18 7:58,21.45, , , , 
7/2/18 8:13,22.56, , , , 
7/2/18 8:28,23.38, , , , 
7/2/18 8:43,24.58, , , , 
7/2/18 8:58,26.21, , , , 
7/2/18 9:13,27.58, , , , 
7/2/18 9:28,28.44, , , , 
7/2/18 9:43,28.61, , , , 
7/2/18 9:58,29.04, , , , 
7/2/18 10:13,29.08, , , , 
7/2/18 10:28,29.64, , , , 
7/2/18 10:43,29.98, , , , 
7/2/18 10:58,30.84, , , , 
7/2/18 11:13,31.4, , , , 
7/2/18 11:28,32.04, , , , 
7/2/18 11:43,33.07, , , , 
7/2/18 11:58,34.02, , , , 
7/2/18 12:13,34.88, , , , 
7/2/18 12:28,35.26, , , , 
7/2/18 12:43,36.08, , , , 
7/2/18 12:58,36.55, , , , 
7/2/18 13:13,36.46, , , , 
7/2/18 13:28,36.85, , , , 
7/2/18 13:43,37.23, , , , 
7/2/18 13:58,37.02, , , , 
7/2/18 14:13,37.96, , , , 
7/2/18 14:28,38.05, , , , 
7/2/18 14:43,37.75, , , , 
7/2/18 14:58,38.05, , , , 
7/2/18 15:13,38.44, , , , 
7/2/18 15:28,38.01, , , , 
7/2/18 15:43,37.28, , , , 
7/2/18 15:58,36.63, , , , 
7/2/18 16:13,36.33, , , , 
7/2/18 16:28,36.38, , , , 
7/2/18 16:43,36.21, , , , 
7/2/18 16:58,36.33, , , , 
7/2/18 17:13,36.03, , , , 
7/2/18 17:28,35.78, , , , 
7/2/18 17:43,35.26, , , , 
7/2/18 17:58,34.66, , , , 
7/2/18 18:13,34.15, , , , 
7/2/18 18:28,33.63, , , , 
7/2/18 18:43,32.86, , , , 
7/2/18 18:58,32.3, , , , 
7/2/18 19:13,31.7, , , , 
7/2/18 19:28,31.06, , , , 
7/2/18 19:43,30.37, , , , 
7/2/18 19:58,29.6, , , , 
7/2/18 20:13,28.65, , , , 
7/2/18 20:28,27.58, , , , 
7/2/18 20:43,26.85, , , , 
7/2/18 20:58,25.99, , , , 
7/2/18 21:13,25.44, , , , 
7/2/18 21:28,25.09, , , , 
7/2/18 21:43,24.49, , , , 
7/2/18 21:58,23.68, , , , 
7/2/18 22:13,23.12, , , , 
7/2/18 22:28,22.69, , , , 
7/2/18 22:43,22.35, , , , 
7/2/18 22:58,22.05, , , , 
7/2/18 23:13,21.83, , , , 
7/2/18 23:28,21.53, , , , 
7/2/18 23:43,21.23, , , , 
7/2/18 23:58,20.8, , , , 
7/3/18 0:13,20.76, , , , 
7/3/18 0:28,20.29, , , , 
7/3/18 0:43,19.86, , , , 
7/3/18 0:58,19.82, , , , 
7/3/18 1:13,19.26, , , , 
7/3/18 1:28,19, , , , 
