Serial Number:20575508 --,,,,,
,,,,,
Date Time - GMT -07:00,"Temp, (*C)",Host Connect,Button Down,Button Up,EOF
6/21/19 12:15,38.18, , , , 
6/21/19 12:17, ,Logged, , , 
6/21/19 12:30,41.61, , , , 
6/21/19 12:45,38.44, , , , 
6/21/19 13:00,37.41, , , , 
6/21/19 13:15,37.28, , , , 
6/21/19 13:30,37.28, , , , 
6/21/19 13:45,37.36, , , , 
6/21/19 14:00,37.49, , , , 
6/21/19 14:15,37.45, , , , 
6/21/19 14:30,37.54, , , , 
6/21/19 14:45,37.66, , , , 
6/21/19 15:00,37.36, , , , 
6/21/19 15:15,36.98, , , , 
6/21/19 15:30,36.98, , , , 
6/21/19 15:45,36.51, , , , 
6/21/19 16:00,36.25, , , , 
6/21/19 16:15,35.82, , , , 
6/21/19 16:30,35.48, , , , 
6/21/19 16:45,35.05, , , , 
6/21/19 17:00,34.66, , , , 
6/21/19 17:15,34.23, , , , 
6/21/19 17:30,33.8, , , , 
6/21/19 17:45,33.07, , , , 
6/21/19 18:00,32.52, , , , 
6/21/19 18:15,31.66, , , , 
6/21/19 18:30,30.76, , , , 
6/21/19 18:45,29.86, , , , 
6/21/19 19:00,29.13, , , , 
6/21/19 19:15,28.4, , , , 
6/21/19 19:30,27.75, , , , 
6/21/19 19:45,27.02, , , , 
6/21/19 20:00,26.51, , , , 
6/21/19 20:15,26.04, , , , 
6/21/19 20:30,25.44, , , , 
6/21/19 20:45,24.92, , , , 
6/21/19 21:00,24.54, , , , 
6/21/19 21:15,24.06, , , , 
6/21/19 21:30,23.68, , , , 
6/21/19 21:45,23.29, , , , 
6/21/19 22:00,22.91, , , , 
6/21/19 22:15,22.43, , , , 
6/21/19 22:30,22.13, , , , 
6/21/19 22:45,21.7, , , , 
6/21/19 23:00,21.32, , , , 
6/21/19 23:15,21.02, , , , 
6/21/19 23:30,20.63, , , , 
6/21/19 23:45,20.37, , , , 
6/22/19 0:00,20.12, , , , 
6/22/19 0:15,19.9, , , , 
6/22/19 0:30,19.69, , , , 
6/22/19 0:45,19.56, , , , 
6/22/19 1:00,19.39, , , , 
6/22/19 1:15,19.26, , , , 
6/22/19 1:30,18.96, , , , 
6/22/19 1:45,18.74, , , , 
6/22/19 2:00,18.49, , , , 
6/22/19 2:15,18.23, , , , 
6/22/19 2:30,18.14, , , , 
6/22/19 2:45,17.89, , , , 
6/22/19 3:00,17.59, , , , 
6/22/19 3:15,17.46, , , , 
6/22/19 3:30,17.29, , , , 
6/22/19 3:45,17.11, , , , 
6/22/19 4:00,16.94, , , , 
6/22/19 4:15,16.81, , , , 
6/22/19 4:30,16.51, , , , 
6/22/19 4:45,16.21, , , , 
6/22/19 5:00,16.04, , , , 
6/22/19 5:15,15.78, , , , 
6/22/19 5:30,15.7, , , , 
6/22/19 5:45,15.7, , , , 
6/22/19 6:00,15.91, , , , 
6/22/19 6:15,16.13, , , , 
6/22/19 6:30,16.43, , , , 
6/22/19 6:45,16.81, , , , 
6/22/19 7:00,17.59, , , , 
6/22/19 7:15,18.62, , , , 
6/22/19 7:30,19.82, , , , 
6/22/19 7:45,21.02, , , , 
6/22/19 8:00,21.96, , , , 
6/22/19 8:15,22.86, , , , 
6/22/19 8:30,23.51, , , , 
6/22/19 8:45,24.41, , , , 
6/22/19 9:00,25.05, , , , 
6/22/19 9:15,26.04, , , , 
6/22/19 9:30,26.72, , , , 
6/22/19 9:45,27.45, , , , 
6/22/19 10:00,28.23, , , , 
6/22/19 10:15,28.91, , , , 
6/22/19 10:30,29.6, , , , 
6/22/19 10:45,30.5, , , , 
6/22/19 11:00,31.23, , , , 
6/22/19 11:15,31.92, , , , 
6/22/19 11:30,32.64, , , , 
6/22/19 11:45,33.07, , , , 
6/22/19 12:00,33.59, , , , 
6/22/19 12:15,34.1, , , , 
6/22/19 12:30,34.53, , , , 
6/22/19 12:45,35.05, , , , 
6/22/19 13:00,35.6, , , , 
6/22/19 13:15,35.78, , , , 
6/22/19 13:30,35.9, , , , 
6/22/19 13:45,36.16, , , , 
6/22/19 14:00,36.08, , , , 
6/22/19 14:15,36.29, , , , 
6/22/19 14:30,36.33, , , , 
6/22/19 14:45,36.33, , , , 
6/22/19 15:00,36.12, , , , 
6/22/19 15:15,35.95, , , , 
6/22/19 15:30,35.95, , , , 
6/22/19 15:45,36.08, , , , 
6/22/19 16:00,35.86, , , , 
6/22/19 16:15,35.56, , , , 
6/22/19 16:30,35.13, , , , 
6/22/19 16:45,34.66, , , , 
6/22/19 17:00,34.23, , , , 
6/22/19 17:15,33.59, , , , 
6/22/19 17:30,33.16, , , , 
6/22/19 17:45,32.47, , , , 
6/22/19 18:00,31.87, , , , 
6/22/19 18:15,31.1, , , , 
6/22/19 18:30,30.63, , , , 
6/22/19 18:45,29.77, , , , 
6/22/19 19:00,29, , , , 
6/22/19 19:15,28.4, , , , 
6/22/19 19:30,27.41, , , , 
6/22/19 19:45,26.6, , , , 
6/22/19 20:00,26.17, , , , 
6/22/19 20:15,25.52, , , , 
6/22/19 20:30,24.92, , , , 
6/22/19 20:45,24.41, , , , 
6/22/19 21:00,24.06, , , , 
6/22/19 21:15,23.72, , , , 
6/22/19 21:30,23.25, , , , 
6/22/19 21:45,22.91, , , , 
6/22/19 22:00,22.56, , , , 
6/22/19 22:15,22.22, , , , 
6/22/19 22:30,21.92, , , , 
6/22/19 22:45,21.53, , , , 
