Serial Number:20575505 --,,,,,
,,,,,
Date Time - GMT -07:00,"Temp, (*C)",Button Down,Button Up,Host Connect,EOF
4/6/19 12:24,29.86, , , , 
4/6/19 12:39,24.97, , , , 
4/6/19 12:54,25.14, , , , 
4/6/19 13:09,25.87, , , , 
4/6/19 13:24,26.6, , , , 
4/6/19 13:39,27.37, , , , 
4/6/19 13:54,27.97, , , , 
4/6/19 14:09,28.53, , , , 
4/6/19 14:24,28.31, , , , 
4/6/19 14:39,27.8, , , , 
4/6/19 14:54,27.41, , , , 
4/6/19 15:09,27.02, , , , 
4/6/19 15:24,26.42, , , , 
4/6/19 15:39,25.95, , , , 
4/6/19 15:54,25.48, , , , 
4/6/19 16:09,25.01, , , , 
4/6/19 16:24,24.36, , , , 
4/6/19 16:39,23.85, , , , 
4/6/19 16:54,23.42, , , , 
4/6/19 17:09,22.86, , , , 
4/6/19 17:24,22.39, , , , 
4/6/19 17:39,22.01, , , , 
4/6/19 17:54,21.66, , , , 
4/6/19 18:09,21.15, , , , 
4/6/19 18:24,20.68, , , , 
4/6/19 18:39,20.03, , , , 
4/6/19 18:54,19.26, , , , 
4/6/19 19:09,18.44, , , , 
4/6/19 19:24,17.72, , , , 
4/6/19 19:39,17.07, , , , 
4/6/19 19:54,16.47, , , , 
4/6/19 20:09,15.96, , , , 
4/6/19 20:24,15.44, , , , 
4/6/19 20:39,14.93, , , , 
4/6/19 20:54,14.5, , , , 
4/6/19 21:09,14.03, , , , 
4/6/19 21:24,13.6, , , , 
4/6/19 21:39,13.3, , , , 
4/6/19 21:54,13, , , , 
4/6/19 22:09,12.65, , , , 
4/6/19 22:24,12.35, , , , 
4/6/19 22:39,12.1, , , , 
4/6/19 22:54,11.79, , , , 
4/6/19 23:09,11.54, , , , 
4/6/19 23:24,11.28, , , , 
4/6/19 23:39,11.02, , , , 
4/6/19 23:54,10.81, , , , 
4/7/19 0:09,10.51, , , , 
4/7/19 0:24,10.21, , , , 
4/7/19 0:39,9.99, , , , 
4/7/19 0:54,9.74, , , , 
4/7/19 1:09,9.48, , , , 
4/7/19 1:24,9.35, , , , 
4/7/19 1:39,9.31, , , , 
4/7/19 1:54,9.14, , , , 
4/7/19 2:09,8.96, , , , 
4/7/19 2:24,8.83, , , , 
4/7/19 2:39,8.62, , , , 
4/7/19 2:54,8.41, , , , 
4/7/19 3:09,8.19, , , , 
4/7/19 3:24,8.06, , , , 
4/7/19 3:39,8.02, , , , 
4/7/19 3:54,7.93, , , , 
4/7/19 4:09,7.85, , , , 
4/7/19 4:24,7.63, , , , 
4/7/19 4:39,7.5, , , , 
4/7/19 4:54,7.33, , , , 
4/7/19 5:09,7.2, , , , 
4/7/19 5:24,7.16, , , , 
4/7/19 5:39,7.03, , , , 
4/7/19 5:54,6.82, , , , 
4/7/19 6:09,6.69, , , , 
4/7/19 6:24,6.48, , , , 
4/7/19 6:39,6.3, , , , 
4/7/19 6:54,6.17, , , , 
4/7/19 7:09,6.22, , , , 
4/7/19 7:24,6.26, , , , 
4/7/19 7:39,6.35, , , , 
4/7/19 7:54,6.56, , , , 
4/7/19 8:09,6.78, , , , 
4/7/19 8:24,7.16, , , , 
4/7/19 8:39,7.89, , , , 
4/7/19 8:54,8.92, , , , 
4/7/19 9:09,10.25, , , , 
4/7/19 9:24,11.84, , , , 
4/7/19 9:39,13.12, , , , 
4/7/19 9:54,14.24, , , , 
4/7/19 10:09,15.18, , , , 
4/7/19 10:24,16.04, , , , 
