Serial Number:20394460 --,,,,,
,,,,,
Date Time - GMT -07:00,"Temp, (*C)",Host Connect,Button Down,Button Up,EOF
6/21/19 12:04,43.5, , , , 
6/21/19 12:04, ,Logged, , , 
6/21/19 12:19,41.95, , , , 
6/21/19 12:34,40.5, , , , 
6/21/19 12:49,40.24, , , , 
6/21/19 13:04,40.37, , , , 
6/21/19 13:19,40.67, , , , 
6/21/19 13:34,40.97, , , , 
6/21/19 13:49,41.27, , , , 
6/21/19 14:04,41.7, , , , 
6/21/19 14:19,41.7, , , , 
6/21/19 14:34,41.91, , , , 
6/21/19 14:49,42, , , , 
6/21/19 15:04,42.04, , , , 
6/21/19 15:19,42, , , , 
6/21/19 15:34,42.3, , , , 
6/21/19 15:49,41.78, , , , 
6/21/19 16:04,41.31, , , , 
6/21/19 16:19,40.67, , , , 
6/21/19 16:34,39.85, , , , 
6/21/19 16:49,38.78, , , , 
6/21/19 17:04,37.32, , , , 
6/21/19 17:19,36.29, , , , 
6/21/19 17:34,35.3, , , , 
6/21/19 17:49,34.1, , , , 
6/21/19 18:04,33.2, , , , 
6/21/19 18:19,32.39, , , , 
6/21/19 18:34,31.61, , , , 
6/21/19 18:49,31.01, , , , 
6/21/19 19:04,30.33, , , , 
6/21/19 19:19,29.56, , , , 
6/21/19 19:34,28.87, , , , 
6/21/19 19:49,28.31, , , , 
6/21/19 20:04,27.75, , , , 
6/21/19 20:19,27.2, , , , 
6/21/19 20:34,26.72, , , , 
6/21/19 20:49,26.25, , , , 
6/21/19 21:04,25.82, , , , 
6/21/19 21:19,25.27, , , , 
6/21/19 21:34,24.92, , , , 
6/21/19 21:49,24.49, , , , 
6/21/19 22:04,24.19, , , , 
6/21/19 22:19,23.76, , , , 
6/21/19 22:34,23.34, , , , 
6/21/19 22:49,22.91, , , , 
6/21/19 23:04,22.52, , , , 
6/21/19 23:19,22.18, , , , 
6/21/19 23:34,21.79, , , , 
6/21/19 23:49,21.45, , , , 
6/22/19 0:04,21.1, , , , 
6/22/19 0:19,20.76, , , , 
6/22/19 0:34,20.46, , , , 
6/22/19 0:49,20.25, , , , 
6/22/19 1:04,19.95, , , , 
6/22/19 1:19,19.77, , , , 
6/22/19 1:34,19.69, , , , 
6/22/19 1:49,19.47, , , , 
6/22/19 2:04,19.26, , , , 
6/22/19 2:19,19, , , , 
6/22/19 2:34,18.83, , , , 
6/22/19 2:49,18.62, , , , 
